DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2008-04-30,10.2,,1067.0,8.9,-7.6
2008-05-01,7.6,,1016.0,-1.1,-9.6
2008-05-02,0.0,,914.0,5.1,-9.1
2008-05-03,2.5,,864.0,9.8,-10.8
2008-05-04,0.0,,813.0,11.6,-4.7
2008-05-05,0.0,,762.0,13.6,-2.4
2008-05-06,0.0,,686.0,13.8,-1.7
2008-05-07,7.6,,711.0,12.7,-1.5
2008-05-08,5.1,,660.0,8.0,-2.5
2008-05-09,2.5,,660.0,9.6,-3.4
2008-05-10,2.5,,610.0,8.6,-4.0
2008-05-11,0.0,,559.0,14.7,-3.7
2008-05-12,5.1,,635.0,9.3,-6.1
2008-05-13,0.0,,559.0,8.5,-10.6
2008-05-14,0.0,,508.0,8.0,-0.4
2008-05-15,0.0,,483.0,9.8,-1.4
2008-05-16,0.0,,381.0,15.2,-3.1
2008-05-17,0.0,,305.0,17.4,-0.3
2008-05-18,0.0,,203.0,18.3,1.2
2008-05-19,0.0,,102.0,18.8,3.0
2008-05-20,0.0,,0.0,20.5,2.9
2008-05-21,12.7,,76.0,13.6,-2.1
2008-05-22,7.6,,76.0,3.6,-2.9
2008-05-23,7.6,,102.0,6.2,-5.7
2008-05-24,5.1,,51.0,6.9,-7.6
2008-05-25,0.0,,25.0,7.5,-3.2
2008-05-26,10.2,,76.0,6.3,-3.6
2008-05-27,0.0,,0.0,11.1,-4.8
2008-05-28,0.0,,0.0,14.0,-0.2
2008-05-29,0.0,,0.0,11.0,-0.5
2008-05-30,0.0,,0.0,12.7,-1.4
2008-05-31,0.0,,0.0,16.6,0.2
2008-06-01,0.0,,0.0,18.3,1.0
2008-06-02,0.0,,0.0,16.0,1.6
2008-06-03,2.5,,0.0,15.1,2.1
2008-06-04,15.2,,0.0,8.9,0.4
2008-06-05,2.5,,0.0,5.8,-0.4
2008-06-06,0.0,,0.0,15.3,-0.8
2008-06-07,0.0,,0.0,7.1,0.9
2008-06-08,0.0,,0.0,9.7,0.1
2008-06-09,0.0,,0.0,15.3,-2.4
2008-06-10,0.0,,0.0,18.3,-0.2
2008-06-11,0.0,,0.0,7.5,-2.0
2008-06-12,0.0,,0.0,9.7,-3.3
2008-06-13,0.0,,0.0,16.2,-2.8
2008-06-14,0.0,,0.0,19.4,0.9
2008-06-15,0.0,,0.0,20.9,3.2
2008-06-16,0.0,,0.0,21.0,4.6
2008-06-17,0.0,,0.0,22.4,3.5
2008-06-18,0.0,,0.0,19.9,4.0
2008-06-19,0.0,,0.0,18.0,0.9
2008-06-20,0.0,,0.0,20.5,1.3
2008-06-21,0.0,,0.0,21.8,3.8
2008-06-22,0.0,,0.0,20.6,6.0
2008-06-23,0.0,,0.0,19.4,5.3
2008-06-24,0.0,,0.0,22.2,3.8
2008-06-25,0.0,,0.0,22.2,5.1
2008-06-26,0.0,,0.0,20.9,5.1
2008-06-27,0.0,,0.0,20.5,4.5
2008-06-28,0.0,,0.0,21.7,4.6
2008-06-29,0.0,,0.0,21.6,5.6
2008-06-30,0.0,,0.0,23.4,5.7
2008-07-01,0.0,,0.0,23.3,6.7
2008-07-02,0.0,,0.0,22.4,5.4
2008-07-03,0.0,,0.0,24.5,5.4
2008-07-04,0.0,,0.0,22.7,8.0
2008-07-05,0.0,,0.0,19.5,6.6
2008-07-06,0.0,,0.0,21.3,5.3
2008-07-07,0.0,,0.0,19.9,3.4
2008-07-08,0.0,,0.0,21.4,4.4
2008-07-09,0.0,,0.0,22.7,5.2
2008-07-10,0.0,,0.0,23.1,3.9
2008-07-11,0.0,,0.0,22.7,5.4
2008-07-12,0.0,,0.0,21.6,5.8
2008-07-13,0.0,,0.0,21.9,6.0
2008-07-14,0.0,,0.0,21.3,7.3
2008-07-15,0.0,,0.0,23.9,7.3
2008-07-16,0.0,,0.0,18.3,7.3
2008-07-17,0.0,,0.0,21.7,5.9
2008-07-18,2.5,,0.0,22.7,6.9
2008-07-19,0.0,,0.0,24.5,6.4
2008-07-20,5.1,,0.0,22.7,8.0
2008-07-21,5.1,,0.0,19.3,8.7
2008-07-22,5.1,,0.0,20.2,7.5
2008-07-23,0.0,,0.0,22.8,6.9
2008-07-24,0.0,,0.0,24.2,6.5
2008-07-25,0.0,,0.0,23.1,8.1
2008-07-26,0.0,,0.0,22.3,7.9
2008-07-27,2.5,,0.0,21.9,8.4
2008-07-28,0.0,,0.0,20.9,5.3
2008-07-29,0.0,,0.0,23.9,5.5
2008-07-30,0.0,,0.0,22.8,7.6
2008-07-31,0.0,,0.0,24.3,6.7
2008-08-01,0.0,,0.0,25.6,6.8
2008-08-02,0.0,,0.0,21.9,8.3
2008-08-03,0.0,,0.0,23.5,8.6
2008-08-04,0.0,,0.0,23.9,10.4
2008-08-05,7.6,,0.0,21.9,10.3
2008-08-06,0.0,,0.0,17.1,8.9
2008-08-07,17.8,,0.0,16.9,7.2
2008-08-08,7.6,,0.0,19.1,6.6
2008-08-09,5.1,,0.0,20.7,7.0
2008-08-10,0.0,,0.0,21.2,6.1
2008-08-11,0.0,,0.0,19.5,4.5
2008-08-12,0.0,,0.0,21.6,3.1
