DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2010-01-01,12.7,,864.0,4.3,0.3
2010-01-02,7.6,,737.0,1.3,-0.3
2010-01-03,0.0,,864.0,2.0,-2.5
2010-01-04,7.6,,914.0,2.4,-0.7
2010-01-05,20.3,,991.0,1.3,-1.0
2010-01-06,0.0,,991.0,-1.0,-12.1
2010-01-07,0.0,,940.0,-4.2,-12.6
2010-01-08,0.0,,940.0,-1.7,-10.3
2010-01-09,2.5,,965.0,1.7,-4.1
2010-01-10,0.0,,940.0,3.5,-1.3
2010-01-11,5.1,,914.0,5.2,-1.2
2010-01-12,15.2,,864.0,8.1,1.6
2010-01-13,12.7,,864.0,4.6,0.7
2010-01-14,0.0,,889.0,3.4,0.0
2010-01-15,0.0,,864.0,7.0,0.1
2010-01-16,5.1,,864.0,4.9,0.4
2010-01-17,2.5,,864.0,6.8,0.4
2010-01-18,0.0,,864.0,7.1,1.4
2010-01-19,0.0,,864.0,5.9,-1.4
2010-01-20,0.0,,838.0,6.0,-1.7
2010-01-21,0.0,,864.0,6.0,-0.9
2010-01-22,0.0,,864.0,3.8,-1.3
2010-01-23,5.1,,914.0,0.2,-1.7
2010-01-24,2.5,,914.0,2.4,-3.2
2010-01-25,0.0,,914.0,2.2,-1.7
2010-01-26,5.1,,940.0,2.2,-0.4
2010-01-27,0.0,,940.0,2.5,-2.4
2010-01-28,0.0,,940.0,2.4,-3.2
2010-01-29,0.0,,940.0,6.2,-1.8
2010-01-30,0.0,,914.0,5.8,-1.8
2010-01-31,12.7,,1016.0,0.6,-1.1
2010-02-01,0.0,,1016.0,4.0,-1.6
2010-02-02,7.6,,1067.0,2.5,-1.9
2010-02-03,0.0,,1041.0,4.2,-3.3
2010-02-04,0.0,,1067.0,5.9,-0.4
2010-02-05,7.6,,1067.0,2.8,0.0
2010-02-06,0.0,,1041.0,6.7,-1.7
2010-02-07,0.0,,1041.0,3.0,-3.6
2010-02-08,0.0,,1041.0,1.2,-4.0
2010-02-09,0.0,,1016.0,3.0,-2.3
2010-02-10,2.5,,1016.0,4.2,-1.3
2010-02-11,7.6,,1067.0,3.0,-1.2
2010-02-12,20.3,,1067.0,5.3,1.2
2010-02-13,0.0,,1067.0,8.9,-0.3
2010-02-14,2.5,,1041.0,8.4,-0.2
2010-02-15,0.0,,1041.0,6.6,-0.3
2010-02-16,5.1,,1016.0,2.9,-0.8
2010-02-17,5.1,,1041.0,6.0,-1.1
2010-02-18,2.5,,1041.0,5.8,-3.0
2010-02-19,0.0,,1041.0,5.2,-4.6
2010-02-20,0.0,,1041.0,3.0,-6.1
2010-02-21,0.0,,1041.0,4.1,-8.3
2010-02-22,0.0,,1041.0,6.6,-8.8
2010-02-23,0.0,,1016.0,10.3,-5.4
2010-02-24,10.2,,1118.0,2.9,0.1
2010-02-25,5.1,,1118.0,5.7,-2.1
2010-02-26,0.0,,1118.0,6.0,-2.9
2010-02-27,0.0,,1067.0,8.4,1.8
2010-02-28,0.0,,1041.0,10.4,-0.5
2010-03-01,0.0,,1041.0,14.3,-1.6
2010-03-02,0.0,,1016.0,10.4,0.5
2010-03-03,0.0,,1016.0,8.5,1.1
2010-03-04,0.0,,991.0,10.4,-0.5
2010-03-05,0.0,,991.0,7.6,0.1
2010-03-06,0.0,,965.0,14.3,-2.3
2010-03-07,0.0,,965.0,13.7,-1.1
2010-03-08,7.6,,1016.0,2.8,-1.8
2010-03-09,5.1,,1016.0,-0.6,-7.1
2010-03-10,0.0,,1016.0,2.4,-9.5
2010-03-11,0.0,,1016.0,4.2,-6.3
2010-03-12,5.1,,1016.0,10.6,-0.4
2010-03-13,7.6,,1067.0,3.4,-4.7
2010-03-14,0.0,,1041.0,9.4,-4.3
2010-03-15,0.0,,1016.0,14.8,-2.2
2010-03-16,0.0,,965.0,16.4,2.0
2010-03-17,0.0,,965.0,9.3,-2.1
2010-03-18,0.0,,940.0,9.3,-3.7
2010-03-19,0.0,,940.0,11.9,-2.4
2010-03-20,0.0,,914.0,13.2,-3.0
2010-03-21,7.6,,914.0,9.2,1.1
2010-03-22,2.5,,914.0,5.5,-1.1
2010-03-23,0.0,,914.0,10.1,-1.7
2010-03-24,2.5,,914.0,12.7,-2.3
2010-03-25,7.6,,914.0,9.2,0.7
2010-03-26,17.8,,1067.0,4.0,-0.6
2010-03-27,0.0,,1016.0,13.3,-2.2
2010-03-28,2.5,,965.0,11.6,1.9
2010-03-29,27.9,,1016.0,9.8,-0.1
2010-03-30,7.6,,1016.0,6.8,-1.3
2010-03-31,0.0,,1016.0,8.1,-4.2
2010-04-01,0.0,,991.0,7.4,-5.2
2010-04-02,12.7,,1143.0,3.5,-5.1
2010-04-03,2.5,,1092.0,4.4,-4.1
2010-04-04,0.0,,1067.0,7.9,-6.2
2010-04-05,2.5,,1067.0,2.9,-3.2
2010-04-06,10.2,,1092.0,9.2,-2.0
2010-04-07,0.0,,1067.0,9.6,-0.7
2010-04-08,10.2,,1143.0,6.3,-4.4
2010-04-09,0.0,,1067.0,5.2,-6.7
2010-04-10,0.0,,1041.0,11.7,-5.3
2010-04-11,0.0,,1016.0,10.9,1.7
2010-04-12,10.2,,1016.0,14.0,0.6
2010-04-13,5.1,,965.0,3.3,0.6
2010-04-14,0.0,,940.0,14.7,1.6
2010-04-15,0.0,,889.0,19.1,4.2
2010-04-16,0.0,,813.0,21.1,6.6
2010-04-17,0.0,,787.0,17.3,5.0
2010-04-18,0.0,,737.0,18.7,2.4
2010-04-19,0.0,,635.0,22.4,3.5
2010-04-20,0.0,,584.0,25.7,6.7
2010-04-21,12.7,,483.0,13.4,4.4
2010-04-22,5.1,,457.0,4.5,1.3
2010-04-23,0.0,,483.0,11.8,-0.6
2010-04-24,0.0,,457.0,7.2,-0.4
2010-04-25,0.0,,432.0,11.9,-0.7
2010-04-26,0.0,,381.0,17.1,-1.3
2010-04-27,22.9,,381.0,12.2,0.6
2010-04-28,25.4,,508.0,5.0,-0.3
