STATE_FIPS,ZONE,FIPS
6,19,6099
6,19,6109
6,34,6079
6,35,6083
6,36,6083
6,37,6079
6,38,6083
6,39,6083
6,40,6111
6,41,6037
6,43,6073
6,44,6111
6,45,6111
6,46,6037
6,48,6065
6,48,6071
6,50,6073
6,51,6079
6,52,6083
6,53,6111
6,54,6037
6,55,6071
6,56,6065
6,57,6059
6,57,6065
6,57,6073
6,58,6073
6,59,6037
6,60,6071
6,61,6065
6,62,6073
6,63,6011
6,63,6021
6,63,6089
6,63,6103
6,65,6065
6,66,6007
6,66,6089
6,66,6103
6,67,6005
6,67,6009
6,67,6017
6,67,6057
6,67,6061
6,67,6109
6,67,6115
6,68,6007
6,68,6035
6,68,6063
6,68,6089
6,68,6103
6,69,6003
6,69,6005
6,69,6009
6,69,6017
6,69,6057
6,69,6061
6,69,6091
6,69,6109
6,69,6115
6,70,6049
6,71,6035
6,71,6063
6,71,6091
6,72,6003
6,72,6017
6,72,6057
6,72,6061
6,73,6051
6,80,6093
6,81,6093
6,82,6093
6,83,6093
6,84,6049
6,84,6093
6,85,6049
6,87,6037
6,88,6037
6,101,6015
6,102,6015
6,103,6023
6,104,6023
6,105,6023
6,106,6023
6,107,6105
6,108,6105
6,109,6045
6,110,6045
6,111,6045
6,112,6045
6,113,6045
6,114,6033
6,115,6033
6,179,6029
6,179,6031
6,179,6019
6,179,6047
6,180,6039
6,180,6047
6,181,6039
6,181,6047
6,182,6031
6,182,6019
6,183,6031
6,183,6019
6,183,6107
6,184,6019
6,185,6107
6,186,6031
6,187,6029
6,188,6029
6,189,6029
6,190,6043
6,190,6039
6,190,6019
6,191,6107
6,191,6031
6,192,6043
6,192,6039
6,192,6019
6,193,6039
6,193,6019
6,194,6019
6,194,6107
6,194,6029
6,195,6107
6,195,6029
6,196,6029
6,197,6029
6,198,6029
6,199,6029
6,505,6041
6,505,6097
6,506,6041
6,506,6055
6,506,6097
6,507,6041
6,507,6055
6,507,6097
6,508,6001
6,508,6013
6,508,6081
6,508,6085
6,509,6081
6,509,6087
6,510,6001
6,510,6013
6,511,6001
6,511,6013
6,511,6085
6,512,6081
6,512,6085
6,512,6087
6,513,6085
6,516,6053
6,517,6053
6,518,6053
6,518,6069
6,519,6027
6,520,6027
6,521,6027
6,522,6027
6,523,6071
6,524,6071
6,525,6071
6,526,6071
6,527,6071
6,528,6053
6,528,6069
6,529,6087
6,530,6053
6,547,6037
6,548,6037
6,549,6083
6,550,6083
6,552,6059
6,554,6059
6,560,6071
6,561,6071
6,562,6025
6,563,6025
6,563,6065
6,564,6025
6,564,6065
6,565,6025
6,566,6025
6,567,6025
6,568,6065
6,569,6025
6,569,6065
6,570,6065
8,1,8045
8,1,8081
8,1,8103
8,2,8081
8,2,8103
8,2,8107
8,3,8045
8,3,8077
8,3,8103
8,4,8081
8,4,8107
8,5,8107
8,6,8045
8,6,8077
8,7,8045
8,7,8077
8,8,8037
8,8,8045
8,8,8097
8,9,8029
8,9,8045
8,9,8077
8,10,8037
8,10,8045
8,10,8097
8,11,8029
8,11,8051
8,11,8077
8,11,8085
8,12,8029
8,12,8051
8,12,8085
8,13,8037
8,13,8045
8,13,8081
8,13,8103
8,13,8107
8,14,8051
8,14,8085
8,17,8029
8,17,8077
8,17,8085
8,17,8091
8,17,8113
8,18,8051
8,18,8053
8,18,8085
8,18,8091
8,18,8113
8,19,8007
8,19,8033
8,19,8053
8,19,8067
8,19,8083
8,19,8111
8,19,8113
8,20,8033
8,20,8077
8,20,8085
8,20,8113
8,21,8033
8,21,8083
8,21,8113
8,22,8067
8,23,8007
8,30,8057
